Name,Beer_ID,ABV,IBU,Brew_ID,Style,Ounces,Name,City,State,ISBLANK,,,,,,,,,,
KelSo India Pale Ale,1572,0.06,64,343,American IPA,12,KelSo Beer Company,Brooklyn, NY,DATA,,,,,,,,,,
Peninsula Brewers Reserve (PBR),1187,0.05,15,459,American Blonde Ale,12,Kenai River Brewing Company,Soldotna, AK,DATA,,,,,,,,,,
Skilak Scottish Ale,1193,0.058,,459,Scottish Ale,12,Kenai River Brewing Company,Soldotna, AK,BLANK,,,,,,,,,,
Sunken Island IPA,349,0.068,,459,American IPA,12,Kenai River Brewing Company,Soldotna, AK,BLANK,,,,,,,,,,
Skilak Scottish Ale (2011),348,0.058,,459,Scottish Ale,12,Kenai River Brewing Company,Soldotna, AK,BLANK,,,,,,,,,,
Cold Smoke Scotch Ale (2007),760,0.065,11,511,Scotch Ale / Wee Heavy,16,Kettle House Brewing Company,Missoula, MT,DATA,,,,,,,,,,
Cold Smoke Scotch Ale,85,0.065,11,511,Scotch Ale / Wee Heavy,16,Kettle House Brewing Company,Missoula, MT,DATA,,,,,,,,,,
Eddy Out Pale Ale,87,0.055,50,511,American Pale Ale (APA),16,Kettle House Brewing Company,Missoula, MT,DATA,,,,,,,,,,
Double Haul IPA (2009),759,0.065,65,511,American IPA,16,Kettle House Brewing Company,Missoula, MT,DATA,,,,,,,,,,
Double Haul IPA (2006),758,0.065,65,511,American IPA,16,Kettle House Brewing Company,Missoula, MT,DATA,,,,,,,,,,
Double Haul IPA,86,0.065,65,511,American IPA,16,Kettle House Brewing Company,Missoula, MT,DATA,,,,,,,,,,
U. P. Witbier,2472,,,85,Witbier,12,Keweenaw Brewing Company,Houghton, MI,BLANK,,,,,,,,,,
November Gale Pale Ale,779,,,85,American Pale Ale (APA),12,Keweenaw Brewing Company,Houghton, MI,BLANK,,,,,,,,,,
Olde Ore Dock Scottish Ale,364,,,85,Scottish Ale,12,Keweenaw Brewing Company,Houghton, MI,BLANK,,,,,,,,,,
Widow Maker Black Ale,60,,,85,American Brown Ale,12,Keweenaw Brewing Company,Houghton, MI,BLANK,,,,,,,,,,
Lift Bridge Brown Ale,59,,,85,American Brown Ale,12,Keweenaw Brewing Company,Houghton, MI,BLANK,,,,,,,,,,
Pick Axe Blonde Ale,58,,,85,American Blonde Ale,12,Keweenaw Brewing Company,Houghton, MI,BLANK,,,,,,,,,,
Red Jacket Amber Ale,57,,,85,American Amber / Red Ale,12,Keweenaw Brewing Company,Houghton, MI,BLANK,,,,,,,,,,
King Street Hefeweizen,1666,0.057,10,103,Hefeweizen,12,King Street Brewing Company,Anchorage, AK,DATA,,,,,,,,,,
King Street IPA,1667,0.06,70,103,American IPA,12,King Street Brewing Company,Anchorage, AK,DATA,,,,,,,,,,
Amber Ale,2436,0.051,,103,American Amber / Red Ale,12,King Street Brewing Company,Anchorage, AK,BLANK,,,,,,,,,,
King Street Pilsner,1706,0.055,,103,Czech Pilsener,12,King Street Brewing Company,Anchorage, AK,BLANK,,,,,,,,,,
King Street Blonde Ale,1665,0.049,,103,American Blonde Ale,12,King Street Brewing Company,Anchorage, AK,BLANK,,,,,,,,,,
Blackberry Wheat,2459,0.048,11,88,American Pale Wheat Ale,16,Kirkwood Station Brewing Company,Kirkwood, MO,DATA,,,,,,,,,,
India Pale Ale,2460,0.063,65,88,American IPA,16,Kirkwood Station Brewing Company,Kirkwood, MO,DATA,,,,,,,,,,
Longboard Island Lager,1274,0.046,18,440,American Amber / Red Lager,24,Kona Brewing Company,Kona, HI,DATA,,,,,,,,,,
Longboard Island Lager,1220,0.046,18,440,American Amber / Red Lager,16,Kona Brewing Company,Kona, HI,DATA,,,,,,,,,,
Longboard Island Lager,1070,0.046,18,440,American Amber / Red Lager,12,Kona Brewing Company,Kona, HI,DATA,,,,,,,,,,
Longboard Island Lager,590,0.046,18,440,American Amber / Red Lager,12,Kona Brewing Company,Kona, HI,DATA,,,,,,,,,,
Choc Beer (2003),781,0.04,9,506,American Dark Wheat Ale,12,Krebs Brewing Company (Pete's Pl...,Krebs, OK,DATA,,,,,,,,,,
Bellingham Beer Week 2013 Collaboration,1637,0.08,,355,Belgian Strong Dark Ale,16,Kulshan Brewery,Bellingham, WA,BLANK,,,,,,,,,,
A Slice of Hefen,1741,0.054,15,333,Hefeweizen,16,La Cumbre Brewing Company,Albuquerque, NM,DATA,,,,,,,,,,
Elevated IPA,664,0.072,100,333,American IPA,16,La Cumbre Brewing Company,Albuquerque, NM,DATA,,,,,,,,,,
Lancaster German Style Kölsch,195,0.048,28,546,Kölsch,12,Lancaster Brewing Company,Lancaster, PA,DATA,,,,,,,,,,
Rumspringa Golden Bock,392,0.066,30,546,Maibock / Helles Bock,12,Lancaster Brewing Company,Lancaster, PA,DATA,,,,,,,,,,
Beach Cruiser,2547,0.045,,60,Hefeweizen,12,Latitude 42 Brewing Company,Portage, MI,BLANK,,,,,,,,,,
I.P. Eh!,2493,0.068,,60,American IPA,12,Latitude 42 Brewing Company,Portage, MI,BLANK,,,,,,,,,,
Schoolhouse Honey,2492,0.05,,60,American Amber / Red Ale,12,Latitude 42 Brewing Company,Portage, MI,BLANK,,,,,,,,,,
10 Degrees of Separation,2491,0.055,,60,English Brown Ale,12,Latitude 42 Brewing Company,Portage, MI,BLANK,,,,,,,,,,
Two-One Niner,1397,0.048,9,219,American Pilsner,12,Laughing Dog Brewing Company,Ponderay, ID,DATA,,,,,,,,,,
Laughing Dog Cream Ale,2108,0.05,12,219,Cream Ale,12,Laughing Dog Brewing Company,Ponderay, ID,DATA,,,,,,,,,,
Laughing Dog IPA,1396,0.064,66,219,American IPA,12,Laughing Dog Brewing Company,Ponderay, ID,DATA,,,,,,,,,,
Duluchan India Pale Ale,1249,0.056,70,346,American IPA,12,Lavery Brewing Company,Erie, PA,DATA,,,,,,,,,,
Madra Allta,1675,0.064,95,346,American IPA,12,Lavery Brewing Company,Erie, PA,DATA,,,,,,,,,,
Lazy Monk Bohemian Pilsner,1445,0.05,,407,Czech Pilsener,16,Lazy Monk Brewing,Eau Claire, WI,BLANK,,,,,,,,,,
Yellowstone Golden Ale,475,0.051,,538,Kölsch,12,Lewis and Clark Brewing Company,Helena, MT,BLANK,,,,,,,,,,
Tumbleweed IPA,474,0.057,,538,American IPA,12,Lewis and Clark Brewing Company,Helena, MT,BLANK,,,,,,,,,,
Lewis & Clark Amber Ale,473,0.05,,538,American Amber / Red Ale,12,Lewis and Clark Brewing Company,Helena, MT,BLANK,,,,,,,,,,
Miner's Gold Hefeweizen,472,0.05,,538,Hefeweizen,12,Lewis and Clark Brewing Company,Helena, MT,BLANK,,,,,,,,,,
Back Country Scottish Ale,471,0.057,,538,Scottish Ale,12,Lewis and Clark Brewing Company,Helena, MT,BLANK,,,,,,,,,,
Getaway,2036,0.052,30,245,German Pilsener,16,Lift Bridge Brewing Company,Stillwater, MN,DATA,,,,,,,,,,
Farm Girl Saison,1168,0.06,30,245,Saison / Farmhouse Ale,16,Lift Bridge Brewing Company,Stillwater, MN,DATA,,,,,,,,,,
Schweet Ale,1687,0.052,20,299,Fruit / Vegetable Beer,12,Liquid Hero Brewery,York, PA,DATA,,,,,,,,,,
Adam's Stout,1832,0.058,40,299,American Stout,12,Liquid Hero Brewery,York, PA,DATA,,,,,,,,,,
American Hero,1688,0.057,42,299,American Amber / Red Ale,12,Liquid Hero Brewery,York, PA,DATA,,,,,,,,,,
Irregardless IPA,1686,0.065,75,299,American IPA,12,Liquid Hero Brewery,York, PA,DATA,,,,,,,,,,
Peach Pale Ale,2434,0.057,40,105,American Pale Ale (APA),12,Lone Tree Brewing Company,Lone Tree, CO,DATA,,,,,,,,,,
Shotgun Betty,2327,0.058,11,150,Hefeweizen,12,Lonerider Brewing Company,Raleigh, NC,DATA,,,,,,,,,,
Sweet Josie,2326,0.061,30,150,American Brown Ale,12,Lonerider Brewing Company,Raleigh, NC,DATA,,,,,,,,,,
Peacemaker Pale Ale,2329,0.057,47,150,American Pale Ale (APA),12,Lonerider Brewing Company,Raleigh, NC,DATA,,,,,,,,,,
Deadeye Jack,2332,0.06,,150,American Porter,12,Lonerider Brewing Company,Raleigh, NC,BLANK,,,,,,,,,,
Pistols at Dawn,2330,0.075,,150,American Stout,16,Lonerider Brewing Company,Raleigh, NC,BLANK,,,,,,,,,,
Blackbeary Wheat,574,0.04,8,269,Fruit / Vegetable Beer,12,Long Trail Brewing Company,Bridgewater Corners, VT,DATA,,,,,,,,,,
Long Trail Ale,1924,0.046,30,269,American Amber / Red Ale,12,Long Trail Brewing Company,Bridgewater Corners, VT,DATA,,,,,,,,,,
Long Trail Ale (1),573,0.046,30,269,Altbier,12,Long Trail Brewing Company,Bridgewater Corners, VT,DATA,,,,,,,,,,
Double Bag,1090,0.072,33,269,Altbier,16,Long Trail Brewing Company,Bridgewater Corners, VT,DATA,,,,,,,,,,
Long Trail IPA,1926,0.059,42,269,English India Pale Ale (IPA),12,Long Trail Brewing Company,Bridgewater Corners, VT,DATA,,,,,,,,,,
Gose,2584,0.046,8,42,Gose,16,Lost Nation Brewing,East Fairfield, VT,DATA,,,,,,,,,,
Vermont Pilsner,2583,0.048,20,42,German Pilsener,16,Lost Nation Brewing,East Fairfield, VT,DATA,,,,,,,,,,
Mosaic Single Hop IPA,2582,0.055,,42,American IPA,16,Lost Nation Brewing,East Fairfield, VT,BLANK,,,,,,,,,,
Lost Galaxy,2581,0.045,,42,American IPA,16,Lost Nation Brewing,East Fairfield, VT,BLANK,,,,,,,,,,
Rhino Chasers Pilsner,1308,0.056,55,431,Czech Pilsener,12,Lost Rhino Brewing Company,Ashburn, VA,DATA,,,,,,,,,,
Face Plant IPA,1309,0.062,65,431,American IPA,12,Lost Rhino Brewing Company,Ashburn, VA,DATA,,,,,,,,,,
Slow Hand Stout,1571,0.052,29,378,American Stout,16,Lucette Brewing Company,Menominee, WI,DATA,,,,,,,,,,
Hips Don't Lie,1204,0.062,,457,Hefeweizen,16,Lucette Brewing Company,Menominie, WI,BLANK,,,,,,,,,,
Ride Again Pale Ale,1122,0.052,,457,American Pale Ale (APA),16,Lucette Brewing Company,Menominie, WI,BLANK,,,,,,,,,,
The Farmer's Daughter,700,0.048,,457,American Blonde Ale,16,Lucette Brewing Company,Menominie, WI,BLANK,,,,,,,,,,
Pub Ale,2033,0.038,18,246,English Dark Mild Ale,12,Lucky Town Brewing Company,Jackson, MS,DATA,,,,,,,,,,
Ballistic Blonde,2032,0.051,31,246,Belgian Pale Ale,12,Lucky Town Brewing Company,Jackson, MS,DATA,,,,,,,,,,
Lumberyard Pilsner,1153,0.053,20,159,American Pilsner,12,Lumberyard Brewing Company,Flagstaff, AZ,DATA,,,,,,,,,,
Knotty Pine,2311,0.054,,159,American Pale Ale (APA),12,Lumberyard Brewing Company,Flagstaff, AZ,BLANK,,,,,,,,,,
Lumberyard IPA,355,0.061,,159,American IPA,12,Lumberyard Brewing Company,Flagstaff, AZ,BLANK,,,,,,,,,,
Lumberyard Red Ale,125,0.058,,159,American Amber / Red Ale,12,Lumberyard Brewing Company,Flagstaff, AZ,BLANK,,,,,,,,,,
Macon Progress Ale,1475,0.05,,401,American Pale Ale (APA),12,Macon Beer Company,Macon, GA,BLANK,,,,,,,,,,
Macon History Ale,1008,0.055,,401,American Brown Ale,12,Macon Beer Company,Macon, GA,BLANK,,,,,,,,,,
Mac's Scottish Style Amber Ale (2000),961,0.051,32,486,American Amber / Red Ale,12,MacTarnahans Brewing Company,Portland, OR,DATA,,,,,,,,,,
Mac's Highlander Pale Ale (2000),962,0.05,,486,American Pale Ale (APA),12,MacTarnahans Brewing Company,Portland, OR,BLANK,,,,,,,,,,
LIFT,1816,0.047,11,92,Kölsch,12,Madtree Brewing Company,Cincinnati, OH,DATA,,,,,,,,,,
Sol Drifter,2209,0.043,18,92,American Blonde Ale,12,Madtree Brewing Company,Cincinnati, OH,DATA,,,,,,,,,,
The Great Pumpcan,1994,0.079,18,92,Fruit / Vegetable Beer,16,Madtree Brewing Company,Cincinnati, OH,DATA,,,,,,,,,,
Happy Amber,1124,0.06,30,92,American Amber / Red Ale,12,Madtree Brewing Company,Cincinnati, OH,DATA,,,,,,,,,,
Gnarly Brown,1125,0.07,32,92,American Brown Ale,12,Madtree Brewing Company,Cincinnati, OH,DATA,,,,,,,,,,
SPRYE,1815,0.05,40,92,American Pale Ale (APA),12,Madtree Brewing Company,Cincinnati, OH,DATA,,,,,,,,,,
Psychopathy,1126,0.069,70,92,American IPA,12,Madtree Brewing Company,Cincinnati, OH,DATA,,,,,,,,,,
Galaxy High,2454,0.099,,92,American Double / Imperial IPA,12,Madtree Brewing Company,Cincinnati, OH,BLANK,,,,,,,,,,
Thunder Snow,2133,0.085,,92,Winter Warmer,12,Madtree Brewing Company,Cincinnati, OH,BLANK,,,,,,,,,,
Elder Betty,1113,0.055,13,304,Hefeweizen,12,Magic Hat Brewing Company,South Burlington, VT,DATA,,,,,,,,,,
#9,1813,0.051,20,304,Fruit / Vegetable Beer,16,Magic Hat Brewing Company,South Burlington, VT,DATA,,,,,,,,,,
#9,360,0.051,20,304,Fruit / Vegetable Beer,12,Magic Hat Brewing Company,South Burlington, VT,DATA,,,,,,,,,,
High Country Pilsner (Current),511,0.042,,535,German Pilsener,12,Mammoth Brewing Company,Mammoth Lakes, CA,BLANK,,,,,,,,,,
Epic IPA,75,0.065,,535,American IPA,12,Mammoth Brewing Company,Mammoth Lakes, CA,BLANK,,,,,,,,,,
Golden Trout Pilsner,74,0.042,,535,German Pilsener,12,Mammoth Brewing Company,Mammoth Lakes, CA,BLANK,,,,,,,,,,
Real McCoy Amber Ale (Current),73,0.045,,535,American Amber / Red Ale,12,Mammoth Brewing Company,Mammoth Lakes, CA,BLANK,,,,,,,,,,
Schuylkill Punch,1355,0.06,14,357,Fruit / Vegetable Beer,12,Manayunk Brewing Company,Philadelphia, PA,DATA,,,,,,,,,,
Summer Paradise,1484,0.05,18,357,American Pale Wheat Ale,12,Manayunk Brewing Company,Philadelphia, PA,DATA,,,,,,,,,,
Belgian Style Session Ale,1625,0.045,21,357,Belgian Pale Ale,12,Manayunk Brewing Company,Philadelphia, PA,DATA,,,,,,,,,,
Monk from the 'Yunk,1356,0.09,30,357,Tripel,12,Manayunk Brewing Company,Philadelphia, PA,DATA,,,,,,,,,,
Dreamin' Double IPA,1334,0.085,85,357,American Double / Imperial IPA,12,Manayunk Brewing Company,Philadelphia, PA,DATA,,,,,,,,,,
Festivus (1),1628,0.072,,357,Winter Warmer,12,Manayunk Brewing Company,Philadelphia, PA,BLANK,,,,,,,,,,
Manayunk Oktoberfest,1626,0.067,,357,Märzen / Oktoberfest,12,Manayunk Brewing Company,Philadelphia, PA,BLANK,,,,,,,,,,
Manayunk IPA,1624,0.055,,357,American IPA,12,Manayunk Brewing Company,Philadelphia, PA,BLANK,,,,,,,,,,
Yunkin' Punkin',1600,0.055,,357,Pumpkin Ale,12,Manayunk Brewing Company,Philadelphia, PA,BLANK,,,,,,,,,,
Riverwalk Blonde Ale,1672,0.06,25,347,American Blonde Ale,12,Manzanita Brewing Company,Santee, CA,DATA,,,,,,,,,,
Manzanita Pale Ale,1670,0.066,44,347,American Pale Ale (APA),12,Manzanita Brewing Company,Santee, CA,DATA,,,,,,,,,,
Gillespie Brown Ale,1671,0.095,49,347,American Brown Ale,12,Manzanita Brewing Company,Santee, CA,DATA,,,,,,,,,,
Manzanita IPA,1673,0.08,88,347,American IPA,12,Manzanita Brewing Company,Santee, CA,DATA,,,,,,,,,,
Chaotic Double IPA,1674,0.099,93,347,American Double / Imperial IPA,12,Manzanita Brewing Company,Santee, CA,DATA,,,,,,,,,,
Marble Pilsner,1262,0.047,,444,German Pilsener,12,Marble Brewery,Albuquerque, NM,BLANK,,,,,,,,,,
Marble India Pale Ale,845,0.062,,444,American IPA,12,Marble Brewery,Albuquerque, NM,BLANK,,,,,,,,,,
Toughcats IPA,1783,0.072,,318,American IPA,16,Marshall Wharf Brewing Company,Belfast, ME,BLANK,,,,,,,,,,
Tug Pale Ale,1717,0.05,,318,American Pale Ale (APA),16,Marshall Wharf Brewing Company,Belfast, ME,BLANK,,,,,,,,,,
Sexy Chaos,1716,0.099,,318,Russian Imperial Stout,16,Marshall Wharf Brewing Company,Belfast, ME,BLANK,,,,,,,,,,
Ace Hole American Pale Ale,1516,0.063,,318,American Pale Ale (APA),16,Marshall Wharf Brewing Company,Belfast, ME,BLANK,,,,,,,,,,
Cant Dog Imperial Pale Ale,725,0.097,,318,American Double / Imperial IPA,16,Marshall Wharf Brewing Company,Belfast, ME,BLANK,,,,,,,,,,
River House,2308,0.05,20,162,Saison / Farmhouse Ale,16,Martin House Brewing Company,Fort Worth, TX,DATA,,,,,,,,,,
Rubberneck Red,2197,0.05,35,162,American Amber / Red Ale,16,Martin House Brewing Company,Fort Worth, TX,DATA,,,,,,,,,,
Pretzel Stout,2268,0.065,47,162,American Stout,16,Martin House Brewing Company,Fort Worth, TX,DATA,,,,,,,,,,
The Imperial Texan,2120,0.08,,162,American Double / Imperial IPA,16,Martin House Brewing Company,Fort Worth, TX,BLANK,,,,,,,,,,
The Imperial Texan,1234,0.08,,162,American Double / Imperial IPA,12,Martin House Brewing Company,Fort Worth, TX,BLANK,,,,,,,,,,
Day Break 4-Grain Breakfast Beer,1233,0.05,,162,Rye Beer,16,Martin House Brewing Company,Fort Worth, TX,BLANK,,,,,,,,,,
River House Saison,1232,0.05,,162,Saison / Farmhouse Ale,12,Martin House Brewing Company,Fort Worth, TX,BLANK,,,,,,,,,,
There Will Be Stout,1231,0.065,,162,American Stout,12,Martin House Brewing Company,Fort Worth, TX,BLANK,,,,,,,,,,
Blueberry Blonde Ale,773,0.05,12,300,American Blonde Ale,12,Matt Brewing Company,Utica, NY,DATA,,,,,,,,,,
Our Legacy IPA,1831,0.065,60,300,American IPA,12,Matt Brewing Company,Utica, NY,DATA,,,,,,,,,,
Our Legacy IPA,1135,0.065,60,300,American IPA,16,Matt Brewing Company,Utica, NY,DATA,,,,,,,,,,
Saranac Shandy,1359,0.042,,300,Shandy,12,Matt Brewing Company,Utica, NY,BLANK,,,,,,,,,,
Saranac Golden Pilsener (2003),960,0.051,,300,German Pilsener,12,Matt Brewing Company,Utica, NY,BLANK,,,,,,,,,,
Saranac Adirondack Light (2002),959,0.045,,300,Light Lager,12,Matt Brewing Company,Utica, NY,BLANK,,,,,,,,,,
DAX Light (1998),958,0.045,,300,Light Lager,12,Matt Brewing Company,Utica, NY,BLANK,,,,,,,,,,
Saranac Traditional Lager (2000),957,0.048,,300,American Pale Lager,12,Matt Brewing Company,Utica, NY,BLANK,,,,,,,,,,
Pomegranate Wheat (2008),956,0.047,,300,Fruit / Vegetable Beer,12,Matt Brewing Company,Utica, NY,BLANK,,,,,,,,,,
Saranac White IPA,686,0.06,,300,American IPA,12,Matt Brewing Company,Utica, NY,BLANK,,,,,,,,,,
Saranac Summer Ale (2011),453,0.047,,300,American Pale Wheat Ale,12,Matt Brewing Company,Utica, NY,BLANK,,,,,,,,,,
Saranac Pale Ale (12 oz.),150,0.055,,300,English Pale Ale,12,Matt Brewing Company,Utica, NY,BLANK,,,,,,,,,,
Saranac Pale Ale (16 oz.),133,0.055,,300,English Pale Ale,16,Matt Brewing Company,Utica, NY,BLANK,,,,,,,,,,
La Perouse White,547,0.05,12,376,Witbier,12,Maui Brewing Company,Lahaina, HI,DATA,,,,,,,,,,
Mana Wheat,313,0.055,15,376,American Pale Wheat Ale,12,Maui Brewing Company,Lahaina, HI,DATA,,,,,,,,,,
Bikini Blonde Lager,33,0.045,18,376,Munich Helles Lager,12,Maui Brewing Company,Lahaina, HI,DATA,,,,,,,,,,
Lahaina Town Brown,1578,0.051,20,376,American Brown Ale,12,Maui Brewing Company,Lahaina, HI,DATA,,,,,,,,,,
Sobrehumano Palena'ole,690,0.06,24,376,American Amber / Red Ale,12,Maui Brewing Company,Lahaina, HI,DATA,,,,,,,,,,
CoCoNut Porter,32,0.057,30,376,American Porter,12,Maui Brewing Company,Lahaina, HI,DATA,,,,,,,,,,
Big Swell IPA,31,0.062,65,376,American IPA,12,Maui Brewing Company,Lahaina, HI,DATA,,,,,,,,,,
Flyin' HI.P.Hay,435,0.068,68,376,American IPA,12,Maui Brewing Company,Lahaina, HI,DATA,,,,,,,,,,
Pau Hana Pilsner,1429,0.055,,376,Czech Pilsener,12,Maui Brewing Company,Lahaina, HI,BLANK,,,,,,,,,,
Lemongrass Saison,1271,0.05,,376,Saison / Farmhouse Ale,12,Maui Brewing Company,Lahaina, HI,BLANK,,,,,,,,,,
Aloha B’ak’tun,713,0.07,,376,Belgian Strong Dark Ale,12,Maui Brewing Company,Lahaina, HI,BLANK,,,,,,,,,,
Liquid Breadfruit,712,0.082,,376,Fruit / Vegetable Beer,12,Maui Brewing Company,Lahaina, HI,BLANK,,,,,,,,,,
Pace Setter Belgian Style Wit,1236,0.037,21,449,Witbier,12,Mavericks Beer Company,Half Moon Bay, CA,DATA,,,,,,,,,,
Pit Stop Chocolate Porter,1237,0.037,34,449,American Porter,12,Mavericks Beer Company,Half Moon Bay, CA,DATA,,,,,,,,,,
Back in the Saddle Rye Pale Ale,1047,0.037,53,449,American Pale Ale (APA),12,Mavericks Beer Company,Half Moon Bay, CA,DATA,,,,,,,,,,
Bushwhacker Cider,1986,0.069,,255,Cider,16,Meckley's Cidery,Somerset Center, MI,BLANK,,,,,,,,,,
Weim-R-Iner,1985,0.069,,255,Cider,16,Meckley's Cidery,Somerset Center, MI,BLANK,,,,,,,,,,
Cherry Bomb,1984,0.069,,255,Cider,16,Meckley's Cidery,Somerset Center, MI,BLANK,,,,,,,,,,
Humpback Blonde Ale,2184,0.042,22,204,American Blonde Ale,12,Mehana Brewing Co.,Hilo, HI,DATA,,,,,,,,,,
Volcano Red Ale,2177,0.052,23,204,American Amber / Red Ale,12,Mehana Brewing Co.,Hilo, HI,DATA,,,,,,,,,,
Hawaiian Crow Porter,2178,0.052,27,204,American Porter,12,Mehana Brewing Co.,Hilo, HI,DATA,,,,,,,,,,
Mauna Kea Pale Ale,2176,0.054,42,204,American Pale Ale (APA),12,Mehana Brewing Co.,Hilo, HI,DATA,,,,,,,,,,
Tsunami IPA,2186,0.072,75,204,American IPA,19.2,Mehana Brewing Co.,Hilo, HI,DATA,,,,,,,,,,
Tsunami IPA,2185,0.072,75,204,American IPA,12,Mehana Brewing Co.,Hilo, HI,DATA,,,,,,,,,,
Shark Bait,1508,0.053,11,394,Fruit / Vegetable Beer,12,Miami Brewing Company,Miami, FL,DATA,,,,,,,,,,
Big Rod Coconut Ale,1325,0.053,16,394,American Blonde Ale,12,Miami Brewing Company,Miami, FL,DATA,,,,,,,,,,
Gator Tail Brown Ale,1507,0.053,30,394,American Brown Ale,12,Miami Brewing Company,Miami, FL,DATA,,,,,,,,,,
Miami Vice IPA,1506,0.071,62,394,American IPA,12,Miami Brewing Company,Miami, FL,DATA,,,,,,,,,,
Mickey Finn's Amber Ale,174,0.056,,553,American Amber / Red Ale,12,Mickey Finn's Brewery,Libertyville, IL,BLANK,,,,,,,,,,
Snowshoe White Ale,587,0.048,12,224,Witbier,12,Midnight Sun Brewing Company,Anchorage, AK,DATA,,,,,,,,,,
Kodiak Brown Ale,586,0.05,24,224,American Brown Ale,12,Midnight Sun Brewing Company,Anchorage, AK,DATA,,,,,,,,,,
Pleasure Town,2093,0.063,61,224,American IPA,12,Midnight Sun Brewing Company,Anchorage, AK,DATA,,,,,,,,,,
Pleasure Town IPA,1814,0.063,61,224,American IPA,12,Midnight Sun Brewing Company,Anchorage, AK,DATA,,,,,,,,,,
Sockeye Red IPA,434,0.057,70,224,American IPA,12,Midnight Sun Brewing Company,Anchorage, AK,DATA,,,,,,,,,,
Jucundus,2666,0.06,24,4,Wheat Ale,16,Mike Hess Brewing Company,San Diego, CA,DATA,,,,,,,,,,
Claritas,2662,0.058,28,4,Kölsch,16,Mike Hess Brewing Company,San Diego, CA,DATA,,,,,,,,,,
Grazias,2663,0.063,30,4,Cream Ale,16,Mike Hess Brewing Company,San Diego, CA,DATA,,,,,,,,,,
Solis,2667,0.075,85,4,American IPA,16,Mike Hess Brewing Company,San Diego, CA,DATA,,,,,,,,,,
Habitus (2014),2668,0.08,100,4,American Double / Imperial IPA,16,Mike Hess Brewing Company,San Diego, CA,DATA,,,,,,,,,,
Habitus,2664,0.08,100,4,American Double / Imperial IPA,16,Mike Hess Brewing Company,San Diego, CA,DATA,,,,,,,,,,
Daft Funk,2530,0.043,8,66,Berliner Weissbier,24,Mikerphone Brewing,Chicago, IL,DATA,,,,,,,,,,
Vinyl Frontier,2535,0.083,,66,American Double / Imperial IPA,24,Mikerphone Brewing,Chicago, IL,BLANK,,,,,,,,,,
Disco Superfly,2534,0.08,,66,American IPA,24,Mikerphone Brewing,Chicago, IL,BLANK,,,,,,,,,,
Misty Mountain Hop,2533,0.075,,66,American IPA,24,Mikerphone Brewing,Chicago, IL,BLANK,,,,,,,,,,
One-Hit Wonderful,2532,0.075,,66,Belgian IPA,24,Mikerphone Brewing,Chicago, IL,BLANK,,,,,,,,,,
En Parfaite Harmonie,2531,0.065,,66,Saison / Farmhouse Ale,24,Mikerphone Brewing,Chicago, IL,BLANK,,,,,,,,,,
Love In An Ellavator,2529,0.075,,66,American IPA,24,Mikerphone Brewing,Chicago, IL,BLANK,,,,,,,,,,
Spin Doctor,2528,0.053,,66,American Pale Ale (APA),24,Mikerphone Brewing,Chicago, IL,BLANK,,,,,,,,,,
Keeper (Current),1612,0.05,,364,American Pilsner,12,Mikkeller,Pottstown, PA,BLANK,,,,,,,,,,
Better Half,1611,0.068,,364,American IPA,12,Mikkeller,Pottstown, PA,BLANK,,,,,,,,,,
SNO White Ale,1273,0.048,,441,Witbier,16,MillKing It Productions,Royal Oak, MI,BLANK,,,,,,,,,,
BRIK Irish Red Ale,365,0.048,,441,Irish Red Ale,16,MillKing It Productions,Royal Oak, MI,BLANK,,,,,,,,,,
AXL Pale Ale,273,,,441,American Pale Ale (APA),16,MillKing It Productions,Royal Oak, MI,BLANK,,,,,,,,,,
Flaming Damsel Lager (2010),172,0.048,18,285,Vienna Lager,16,Milwaukee Brewing Company,Milwaukee, WI,DATA,,,,,,,,,,
Booyah Farmhouse Ale,932,0.065,20,285,Saison / Farmhouse Ale,16,Milwaukee Brewing Company,Milwaukee, WI,DATA,,,,,,,,,,
Louie's Demise Amber Ale,1272,0.051,24,285,American Amber / Red Ale,16,Milwaukee Brewing Company,Milwaukee, WI,DATA,,,,,,,,,,
Louie’s Demise Immort-Ale (2010),171,0.051,24,285,American Amber / Red Ale,16,Milwaukee Brewing Company,Milwaukee, WI,DATA,,,,,,,,,,
Hop Happy,1080,0.075,51,285,American IPA,16,Milwaukee Brewing Company,Milwaukee, WI,DATA,,,,,,,,,,
Hop Freak,1884,0.087,80,285,American Double / Imperial IPA,16,Milwaukee Brewing Company,Milwaukee, WI,DATA,,,,,,,,,,
O-Gii,776,0.092,,285,Witbier,16,Milwaukee Brewing Company,Milwaukee, WI,BLANK,,,,,,,,,,
Axe Head Malt Liquor,2361,0.099,,135,American Malt Liquor,24,Minhas Craft Brewery,Monroe, WI,BLANK,,,,,,,,,,
Huber Bock (2014),2359,0.054,,135,Bock,16,Minhas Craft Brewery,Monroe, WI,BLANK,,,,,,,,,,
Minhas Light (2012),2358,0.04,,135,Light Lager,12,Minhas Craft Brewery,Monroe, WI,BLANK,,,,,,,,,,
Huber,2282,0.05,,135,American Pale Lager,12,Minhas Craft Brewery,Monroe, WI,BLANK,,,,,,,,,,
Clear Creek Ice,2281,0.062,,135,American Pale Lager,16,Minhas Craft Brewery,Monroe, WI,BLANK,,,,,,,,,,
