Name,Beer_ID,ABV,IBU,Brew_ID,Style,Ounces,Name,City,State,ISBLANK,,,,,,,,,,
Purple Haze,515,0.042,13,534,Fruit / Vegetable Beer,12,Abita Brewing Company,Abita Springs, LA,DATA,,,,,,,Philadelphia,5,5,10
Abita Amber,514,0.045,17,534,American Amber / Red Lager,12,Abita Brewing Company,Abita Springs, LA,DATA,,,,,,,Fort Worth,4,6,10
Jockamo IPA,516,0.065,52,534,American IPA,12,Abita Brewing Company,Abita Springs, LA,DATA,,,,,,,Lake Barrington,7,3,10
Colorado Native,1165,0.055,26,463,American Amber / Red Lager,12,AC Golden Brewing Company,Golden, CO,DATA,,,,,,,Springfield,10,,10
Colorado Native (2011),431,0.055,26,463,American Amber / Red Lager,12,AC Golden Brewing Company,Golden, CO,DATA,,,,,,,Providence,10,,10
Sho'nuff,2680,0.04,13,2,Belgian Pale Ale,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Milwaukee,7,3,10
Bloody Show,2679,0.055,17,2,American Pilsner,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Baltimore,2,8,10
The Brown Note,2539,0.05,20,63,American Brown Ale,16,Against The Grain Brewery,Louisville, KY,DATA,,,,,,,Morganton,,9,9
The Brown Note,2674,0.05,20,2,English Brown Ale,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Chico,6,3,9
Flesh Gourd'n,2681,0.066,21,2,Pumpkin Ale,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Jackson,8,1,9
35 K,2684,0.077,25,2,Milk / Sweet Stout,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Lewiston,4,5,9
Rules are Rules,2682,0.05,25,2,German Pilsener,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Hattiesburg,9,,9
Coq de la Marche,2677,0.051,38,2,Saison / Farmhouse Ale,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Oklahoma City,5,4,9
A Beer,2683,0.042,42,2,American Pale Ale (APA),16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Westerly,6,3,9
Pile of Face,2675,0.06,65,2,American IPA,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Santa Cruz,2,7,9
Citra Ass Down,2540,0.082,68,63,American IPA,16,Against The Grain Brewery,Louisville, KY,DATA,,,,,,,Evansville,8,1,9
